id,name,note,station_id,sensor_type,latitude,longitude,station_name
127,S128,Via Liguria -> p.Maremma Via Liguria > Maremma SX,62,4,39.2307833502,9.1158388156,LIGURIA DIR MAREMMA
128,S129,Via Liguria -> Via Campania Via Liguria > Campania SX,63,4,39.2308507872,9.11592587548,LIGURIA DIR CAMPANIA
129,S130,Via Liguria -> Via Campania Via Liguria > Campania DX,63,4,39.2308507872,9.11592587548,LIGURIA DIR CAMPANIA
130,S131,Via Dante altezza Repubblica Via Dante/Repubblica DX,75,4,39.2168063788,9.12488888891,DANTE/REPUBBLICA
131,S132,Via Dante altezza Repubblica Via Dante/Repubblica SX,75,4,39.2168063788,9.12488888891,DANTE/REPUBBLICA
132,S133,Via Del Fangario -> Viale Elmas Via Del Fangario DX,70,4,39.2430277785,9.09591666685,FANGARIO
133,S134,Via Del Fangario -> Viale Elmas Via Del Fangario SX,70,4,39.2430277785,9.09591666685,FANGARIO
134,S135,Viale Trieste -> Avendrace Via Trieste > Avendrace DX,57,4,39.2218611109,9.10244444458,TRIESTE DIR AVENDRACE
135,S136,Viale Trieste -> Avendrace Via Trieste > Avendrace SX,57,4,39.2218611109,9.10244444458,TRIESTE DIR AVENDRACE
136,S137,Viale Trieste -> Roma Viale Trieste > Roma SX,58,4,39.2218413707,9.10236813446,TRIESTE DIR ROMA
137,S138,Viale Trieste -> Roma Viale Trieste > Roma DX,58,4,39.2218413707,9.10236813446,TRIESTE DIR ROMA
138,S139,Strada Arginale Strada Arginale DX,61,4,39.2365345863,9.14401964145,STRADA ARGINALE
139,S140,Strada Arginale Strada Arginale SX,61,4,39.2365345863,9.14401964145,STRADA ARGINALE
140,S141,Via Dei Conversi -> Via Tuver Conversi > Tuveri DX,76,4,39.2202963197,9.13240162945,CONVERSI DIR TUVERI
141,S142,Via Dei Conversi -> Via Tuver Conversi  > Tuveri SX,76,4,39.2202963197,9.13240162945,CONVERSI DIR TUVERI
142,S143,via dei conversi -> abbazia Conversi > Abbazia,77,4,39.2202247599,9.13242392527,CONVERSI DIR ABBAZIA
143,S144,QSE Leonardo da Vinci -> Via Fiume QUARTU Da Vinci > Fiume,82,4,39.230468,9.222626,QSE DA VINCI DIR FIUME
144,S145,QSE Leonardo da Vinci -> Via Antas QUARTU Da Vinci > Via Antas DX,83,4,39.230369,9.222555,QSE DA VINCI DIR ANTAS
145,S146,QSE Leonardo da Vinci -> Via Antas QUARTU Da Vinci > Via Antas SX,83,4,39.230369,9.222555,QSE DA VINCI DIR ANTAS
146,S147,QSE Via Fiume -> Via San Benedetto QUARTU Via Fiume > Via S Benedetto,84,4,39.235959,9.200665,QSE FIUME DIR S.BENEDETTO
147,S148,QSE Via Fiume -> Poetto QUARTU Via Fiume > Poetto,85,4,39.235875,9.200617,QSE FIUME DIR POETTO
148,S149,QSE Viale Colombo -> Via Madrid QUARTU Viale Colombo > Via Madrid,86,4,39.229102,9.190641,QSE COLOMBO DIR MADRID
149,S150,QSE Viale Colombo -> Poetto QUARTU Viale Colombo > Poetto,87,4,39.22906,9.190566,QSE COLOMBO DIR POETTO
150,S151,QSE Viale Lungomare -> Cagliari QUARTU Lungomare > Cagliari DX,88,4,39.222867,9.192523,QSE LUNGOMARE DIR CAGLIARI
151,S152,QSE Viale Lungomare -> Cagliari QUARTU Lungomare > Cagliari SX,88,4,39.222867,9.192523,QSE LUNGOMARE DIR CAGLIARI
152,S153,QSE Viale Lungomare -> Quartu QUARTU Lungomare > Quartu DX,89,4,39.222763,9.192573,QSE LUNGOMARE DIR QUARTU
153,S154,QSE Viale Lungomare -> Quartu QUARTU Lungomare > Quartu SX,89,4,39.222763,9.192573,QSE LUNGOMARE DIR QUARTU
154,S155,QSE Via Siena -> Via Zara QUARTU Via Siena > Via Zara,90,4,39.245319,9.1799,QSE SIENA DIR ZARA
155,S156,QSE Via Siena -> Via Br.Sassari QUARTU Siena > Via B.Sassari,91,4,39.245347,9.17985,QSE SIENA DIR BR.SASSARI
156,S157,QSE Via Pitz e Serra  > Via Danimarca QUARTU Pitz Serra > Danimarca,92,4,39.240366,9.208662,QSE PITSERRA DIR DANIMARCA
